gnis_name,comid,centroid_longitude,centroid_latitude,date_acquired,predictions
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/08/26,7.3951340902875025
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/09/27,3.954424999999991
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/11/06,8.79499913571428
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/11/09,7.314750758333333
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/11/04,5.189172769999994
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/11/04,8.490265161666661
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/10/29,4.82277265
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/02/02,22.05378333333335
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/02/19,19.90220416862416
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/02/19,4.337650000830009
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/04/08,3.1518250000000045
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/04/08,2.9173692307692325
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/03/22,4.169300000309997
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/05/09,6.929355310000001
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/05/10,5.184110631666659
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/05/10,7.47629773999999
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/05/09,5.817825009864991
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/05/01,4.526243572003333
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/04/24,7.039158340088332
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/04/24,7.28143334150833
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/04/23,9.21064166671415
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/05/26,13.73412500007249
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/05/26,14.90845000007249
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/07/11,3.5618538334058285
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/07/11,3.4930000000724952
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/06/29,3.0851931799999948
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/06/24,4.742027161538451
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/06/24,4.7208122923076825
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/07/04,11.903208354080832
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/06/26,6.736121598286669
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/08/02,10.487950001012498
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/07/28,8.721175004792498
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/08/05,4.136493179999993
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/08/31,3.0438003115384604
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/10/09,4.036968948333326
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/10/08,2.903375000000005
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/11/07,7.802043896181061
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/11/07,6.034837835880238
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/10/26,11.77945833333334
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/11/09,4.068925158666664
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2022/11/29,6.84769999863501
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/02/10,19.78089171515669
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/02/06,4.236369934615379
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/02/06,4.356733396153839
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/01/28,5.065872110333331
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/02/27,6.202549996455009
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/03/09,5.836518184999991
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/04/10,4.022082686666664
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/04/02,8.979630308333341
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/05/05,6.760029034615378
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/05/05,7.080997373076911
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/05/26,3.602146064739163
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/06/05,4.361375000144994
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/05/29,16.312783340305835
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/05/29,17.565708361125843
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/05/28,3.279279554999996
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/07/07,2.6851000000000016
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/06/29,8.798823111328328
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/06/21,18.33656666673916
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/08/05,17.26015626380001
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2023/07/31,3.2119613700724976
